"Year","Unit","Fleet","Estimate_metric_tons","SD_log","SD_mt"
1984,1,1,1490871.60877809,0.179808785450915,268071.813237641
1985,1,1,722662.653355572,0.349463849934949,252544.473045844
1986,1,1,752918.124039536,0.345301450480178,259983.720323666
1987,1,1,1388439.12832349,0.175457761825064,243612.421885982
1988,1,1,837279.743159805,0.339767753681684,284480.657536585
1989,1,1,891697.386303365,0.333633488928618,297500.110060921
1990,1,1,2047175.08702957,0.152317859957945,311821.328215563
1991,1,1,941834.359672029,0.331601660257974,312313.83735525
1992,1,1,935222.945525222,0.336462300931212,314667.264135082
1993,1,1,1297769.34983574,0.161109361367025,209082.791153736
1994,1,1,908397.177145568,0.332296909295867,301857.574378562
1995,1,1,889857.544921013,0.331816196196891,295269.145712794
1996,1,1,1249047.92278653,0.148062834318547,184937.575647468
1997,1,1,808173.762433525,0.331584027455566,267977.511031626
1998,1,1,747621.967284266,0.337807697164474,252552.455117872
1999,1,1,939064.565817509,0.144287311262858,135495.101304032
2000,1,1,647613.211954131,0.353073554151123,228655.098459869
2001,1,1,477706.975494702,0.175161514345036,83675.8772408389
2002,1,1,635089.883429211,0.350584501635036,222652.670275483
2003,1,1,925992.515195529,0.143693572632683,133059.17273957
2004,1,1,687767.969771038,0.339860386563487,233745.08807237
2005,1,1,657835.77246553,0.13508237986312,88862.0217037379
2006,1,1,728141.536369408,0.318006821347935,231553.975472237
2007,1,1,543294.328236133,0.127424747265866,69229.1424664676
2008,1,1,829111.312369906,0.3171218527722,262929.315533135
2009,1,1,1018691.58093747,0.119856834891517,122097.148621801
2010,1,1,993551.239151668,0.337878259060112,335699.362971583
2011,1,1,1110532.86532758,0.120015452171687,133281.103983809
2012,1,1,1093579.32083901,0.338831293665806,370538.896006055
2013,1,1,1367765.51258692,0.179924457070137,246094.46725146
2014,1,1,1099656.73308644,0.333927541186697,367205.66902895
2015,1,1,1122716.71053667,0.121164786887056,136033.730966711
