"Year","Unit","Fleet","Estimate_metric_tons","SD_log","SD_mt"
1984,1,1,1928848.29808099,0.0792601478947966,152880.801372526
1985,1,1,73728.3920699541,0.366675108032125,27034.3661272853
1986,1,1,73728.3920699541,0.366675108032125,27034.3661272853
1987,1,1,1738457.60199389,0.0756269602910146,131474.264033604
1988,1,1,73728.3920699541,0.366675108032125,27034.3661272853
1989,1,1,73728.3920699541,0.366675108032125,27034.3661272853
1990,1,1,2862101.60672628,0.0796812731458532,228055.899896742
1991,1,1,73728.3920699541,0.366675108032125,27034.3661272853
1992,1,1,73728.3920699541,0.366675108032125,27034.3661272853
1993,1,1,3271053.8565768,0.0742930049664827,243016.420412292
1994,1,1,73728.3920699541,0.366675108032125,27034.3661272853
1995,1,1,73728.3920699541,0.366675108032125,27034.3661272853
1996,1,1,2592135.65464219,0.074746388685735,193752.779168037
1997,1,1,73728.3920699541,0.366675108032125,27034.3661272853
1998,1,1,73728.3920699541,0.366675108032125,27034.3661272853
1999,1,1,2279822.56403124,0.0756474557946542,172462.776632208
2000,1,1,73728.3920699541,0.366675108032125,27034.3661272853
2001,1,1,2027047.9975478,0.094581445802913,191721.13031997
2002,1,1,73728.3920699541,0.366675108032125,27034.3661272853
2003,1,1,3213651.05264432,0.0761556287141526,244737.616382027
2004,1,1,73728.3920699541,0.366675108032125,27034.3661272853
2005,1,1,3237623.14736945,0.0748789209185572,242429.727615968
2006,1,1,73728.3920699541,0.366675108032125,27034.3661272853
2007,1,1,2547905.18917723,0.0772253727960528,196762.928083209
2008,1,1,73728.3920699541,0.366675108032125,27034.3661272853
2009,1,1,2400291.29051501,0.0719951468210878,172809.323874007
2010,1,1,73728.3920699541,0.366675108032125,27034.3661272853
2011,1,1,2408671.90605484,0.077580337173909,186865.578613056
2012,1,1,73728.3920699541,0.366675108032125,27034.3661272853
2013,1,1,1862651.58652311,0.0867090035678647,161508.663061521
2014,1,1,73728.3920699541,0.366675108032125,27034.3661272853
2015,1,1,2211835.76481969,0.0743699050195787,164494.015748548
