Species Code,Common Name,Scientific Name,In BS Region,In GOA Region,In WC Region,Taxonomically Classifiable,Species Taxonomic ID,Category of Code,Category Merge Mode,Merge In RACEBASE,Life Stage ID,From Length,To Length,Length Units,Is Organic,ITIS ID,Active,Size Class ID,Polycorder Species Code,Commonly Counted,Merge In Extract,Morphic Subcategory
71001,snail eggs,gastropod eggs,Y,Y,Y,Y,2574,Y,71500,N,2,,,,Y,,Y,,,U,N,N
71002,,Buccinum sp. eggs,,Y,,Y,206,Y,72740,N,2,,,,Y,,Y,,,U,N,N
71003,,Fusitriton oregonensis eggs,,Y,,Y,2528,Y,72500,N,2,,,,Y,,Y,,,U,N,N
71004,,Neptunea sp. eggs,,Y,,Y,668,Y,71800,N,2,,,,Y,,Y,,,U,N,N
71005,eggs of Neptunea borealis,Neptunea borealis eggs,Y,Y,Y,Y,1457,Y,71835,N,2,,,,Y,,Y,,,N,N,N
71006,eggs of Neptunea heros,Neptunea heros eggs,Y,Y,Y,Y,1448,Y,71884,N,2,,,,Y,,Y,,,N,N,N
71007,bubbleshells unid.,Cephalaspidea,,,,Y,2755,N,,N,,,,,Y,,Y,,,Y,N,N
71008,nudibranch eggs,,Y,,,Y,2746,Y,71010,N,2,,,,Y,,Y,,,U,N,N
71009,,Opisthobranchia,Y,,,Y,2747,N,,N,,,,,Y,,Y,,,U,N,N
71010,nudibranch unid.,Nudibranchia,Y,Y,Y,Y,2746,N,,N,,,,,Y,,Y,,,Y,N,N
71011,barnacle-eating onchidoris,Onchidoris bilamellata,Y,,,Y,2537,N,,N,,,,,Y,,Y,,,Y,N,N
71012,giant orange tochui,Tochuina tetraquetra,Y,Y,Y,Y,1569,N,,N,,,,,Y,,Y,,,Y,N,N
71013,thick-horned aeolid,Hermissenda crassicornis,,Y,,Y,2045,N,,N,,,,,Y,,Y,,,Y,N,N
71014,Nanaimo dorid,Acanthodoris nanaimoensis,,Y,,Y,2147,N,,N,,,,,Y,,Y,,,Y,N,N
71015,yellow-edged cadlina,Cadlina luteomarginata,,Y,,Y,1218,N,,N,,,,,Y,,Y,,,Y,N,N
71016,,Diaulula sandiegensis,,Y,,Y,1383,N,,N,,,,,Y,,Y,,,Y,N,N
71017,cedar-scented dorid,Acanthodoris brunnea,,,Y,Y,2146,N,,N,,,,,Y,,Y,,,Y,N,N
71018,,Dendronotus sp.,Y,Y,,Y,347,N,,N,,,,,Y,,Y,,,Y,N,N
71019,,Acanthodoris sp.,,Y,,Y,19,N,,N,,,,,Y,,Y,,,U,N,N
71020,Dall's dendronotid,Dendronotus dalli,Y,,,Y,2020,N,,N,,,,,Y,,Y,,,Y,N,N
71021,frond-aeolis,Dendronotus frondosus,Y,,,Y,2021,N,,N,,,,,Y,,Y,,,Y,N,N
71022,stubby frond-aeolis,Dendronotus subramosus,Y,,,Y,2022,N,,N,,,,,Y,,Y,,,Y,N,N
71023,Pacific batwing seaslug,Gastropteron pacificum,,Y,,Y,2214,N,,N,,,,,Y,,Y,,,U,N,N
71025,,Tritonia sp.,Y,Y,Y,Y,1023,N,,N,,,,,Y,,Y,,,Y,N,N
71026,festive Tritonia,Tritonia festiva,Y,Y,,Y,3775,N,,N,,,,,Y,,Y,,,U,N,N
71027,,Calycidoris guentheri,,,,Y,3947,N,,N,,,,,Y,,Y,,,Y,N,N
71030,rosy tritonia,Tritonia diomedea,Y,Y,Y,Y,1578,N,,N,,,,,Y,,Y,,,Y,N,N
71031,onchidoridid nudibranchs,Onchidorididae,Y,Y,N,Y,2745,N,,N,,,,,Y,,Y,,,Y,N,N
71040,,Acteocina sp.,,Y,,Y,30,N,,N,,,,,Y,,Y,,,Y,N,N
71050,sea-clown triopha,Triopha catalinae,,Y,,Y,1337,N,,N,,,,,Y,,Y,,,Y,N,N
71051,,Cuthona concinna,,Y,,Y,4015,N,,N,,,,,Y,,Y,,,Y,N,N
71052,archidorid nudibranchs,Archidorididae,,Y,,Y,2832,N,,N,,,,,Y,,Y,,,U,N,N
71055,Monterey dorid,Archidoris montereyensis,,Y,,Y,1776,N,,N,,,,,Y,,Y,,,Y,N,N
71080,California armina,Armina californica,,Y,Y,Y,1119,N,,N,,,,,Y,,Y,,,Y,N,N
71090,Pacific Colga,Colga pacifica,Y,Y,,Y,1086,N,,N,,,,,Y,,Y,,,Y,N,N
71104,cadlina nudibranchs,Cadlina sp.,,Y,,Y,209,N,,N,,,,,Y,,Y,,,U,N,N
71105,,Cadlina modesta,,Y,,Y,1217,N,,N,,,,,Y,,Y,,,U,N,N
71110,,Flabellina sp.,,Y,,Y,3971,N,,N,,,,,Y,,Y,,,Y,N,N
71111,red flabellina,Flabellina trophina,,Y,,Y,3972,N,,N,,,,,Y,,Y,,,Y,N,N
71112,,Flabellinidae,,Y,,Y,2957,N,,N,,,,,Y,,Y,,,Y,N,N
71202,,Chlamylla sp.,,Y,,Y,268,N,,N,,,,,Y,,Y,,,Y,N,N
71210,dironid nudibranchs,Dironidae,Y,Y,,Y,3012,N,,N,,,,,Y,,Y,,,Y,N,N
71212,,Dirona aurantia,,Y,,Y,1131,N,,N,,,,,Y,,Y,,,U,N,N
71230,Pacific sea lemon,Anisodoris nobilis,Y,Y,Y,Y,1764,N,,N,,,,,Y,,Y,,,Y,N,N
71235,mottled pale sea-lemon,Anisodoris lentiginosa,,Y,,Y,1765,N,,N,,,,,Y,,Y,,,Y,N,N
71250,dorid nudibranch unid.,Dorididae,Y,Y,,Y,3853,N,,N,,,,,Y,,Y,,,Y,N,N
71259,Archidoris nudibranch,Archidoris sp.,,Y,,Y,110,N,,N,,,,,Y,,Y,,,U,N,N
71260,white night doris,Archidoris odhneri,Y,Y,,Y,1775,N,,N,,,,,Y,,Y,,,Y,N,N
71269,,Diaulula sp. A (Clark 2006),,Y,,Y,3423,N,,N,,,,,Y,,Y,,,U,N,N
71271,,Adalaria proxima,,Y,,Y,1340,N,,N,,,,,Y,,Y,,,U,N,N
71290,pleurobranchid sea slugs,Pleurobranchidae,Y,Y,,Y,3249,N,,N,,,,,Y,,Y,,,Y,N,N
71291,California sea slug,Pleurobranchaea californica,,,Y,Y,2460,N,,N,,,,,Y,,Y,,,Y,N,N
71332,,Thieleella baxteri,,Y,,Y,1194,N,,N,,,,,Y,,Y,,,U,N,N
71333,crispate scissurelle,Anatoma crispata,,Y,,Y,1195,N,,N,,,,,Y,,Y,,,U,N,N
71349,puncturella,Cranopsis sp.,,Y,,Y,307,N,,N,,,,,Y,,Y,,,Y,N,N
71350,great puncturella,Cranopsis major,,Y,,Y,2525,N,,N,,,,,Y,,Y,,,Y,N,N
71351,,Puncturella rothi,,Y,,Y,2547,N,,N,,,,,Y,,Y,,,Y,N,N
71352,,Puncturella cooperi,,Y,,Y,2123,N,,N,,,,,Y,,Y,,,U,N,N
71353,helmet puncturella,Puncturella galeata,,Y,,Y,2124,N,,N,,,,,Y,,Y,,,U,N,N
71354,many-ribbed puncturella,Puncturella multistriata,,Y,,Y,2125,N,,N,,,,,Y,,Y,,,U,N,N
71355,hood puncturella,Cranopsis cucullata,,Y,,Y,1630,N,,N,,,,,Y,,Y,,,U,N,N
71356,elegant emarginula,Scelidotoma bella,,Y,,Y,2129,N,,N,,,,,Y,,Y,,,U,N,N
71357,,Diodora aspera,,Y,,Y,1236,N,,N,,,,,Y,,Y,,,U,N,N
71358,long-slot puncturella,Puncturella longifissa,,Y,,Y,3739,N,,N,,,,,Y,,Y,,,U,N,N
71400,,Acmaea sp.,,Y,,Y,28,N,,N,,,,,Y,,Y,,,Y,N,N
71405,limpet unid.,,Y,Y,Y,Y,2574,N,,N,,,,,Y,,Y,,,Y,N,N
71406,thumbnails,Lottiidae,,Y,,Y,571,N,,N,,,,,Y,,Y,,,Y,N,N
71500,snail unid.,Gastropoda,Y,Y,Y,Y,2574,N,,N,,,,,Y,,Y,,,Y,N,N
71501,,Carinariidae,,,Y,Y,471,N,,N,,,,,Y,,Y,,,Y,N,N
71503,,Gastropteron pacifica,,Y,,Y,2213,N,,N,,,,,Y,,Y,,,U,N,N
71504,,Asterophila japonica,Y,,,Y,1952,N,,N,,,,,Y,,Y,,,Y,N,N
71510,moonsnails,Naticidae,Y,Y,Y,Y,651,N,,N,,,,,Y,,Y,,,Y,N,N
71511,moonsnail eggs unid.,Naticidae eggs,Y,Y,Y,Y,651,Y,71510,N,2,,,,Y,,Y,,,U,N,N
71512,eggs of Natica russa,Natica russa eggs,Y,Y,Y,Y,1167,Y,71537,N,2,,,,Y,,Y,,,N,N,N
71515,fragile moonsnail,Bulbus fragilis,,Y,,Y,1122,N,,N,,,,,Y,,Y,,,Y,N,N
71517,,Euspira monterona,Y,Y,,Y,1240,N,,N,,,,,Y,,Y,,,Y,N,N
71519,eulimas,Eulima sp.,,Y,,Y,392,N,,N,,,,,Y,,Y,,,U,N,N
71520,purple moon snail,Amauropsis purpurea,Y,Y,,Y,1762,N,,N,,,,,Y,,Y,,,U,N,N
71524,,Cryptonatica sp.,Y,Y,,Y,320,N,,N,,,,,Y,,Y,,,U,N,N
71525,,Natica sp.,Y,Y,Y,Y,650,N,,N,,,,,Y,,Y,,,Y,N,N
71526,Arctic moonsnail,Cryptonatica affinis,,Y,,Y,2199,N,,N,,,,,Y,,Y,,,Y,N,N
71530,,Natica clausa,Y,Y,Y,Y,1168,N,,N,,,,,Y,,Y,,,Y,N,N
71535,Aleutian moonsnail,Cryptonatica aleutica,Y,Y,,Y,2200,N,,N,,,,,Y,,Y,,,Y,N,N
71537,rusty moonsnail,Cryptonatica russa,Y,Y,,Y,3662,N,,N,,,,,Y,,Y,,,Y,N,N
71540,,Muricidae,Y,,,Y,632,N,,N,,,,,Y,,Y,,,Y,N,N
71541,channelled dogwinkle,Nucella canaliculata,Y,,,Y,1290,N,,N,,,,,Y,,Y,,,Y,N,N
71542,frilled dogwinkle,Nucella lamellosa,,Y,,Y,1289,N,,N,,,,,Y,,Y,,,Y,N,N
71546,wrinkled amphissa,Amphissa colmbiana,,Y,,Y,2499,N,,N,,,,,Y,,Y,,,U,N,N
71547,,Amphissa reticulata,,Y,,Y,1341,N,,N,,,,,Y,,Y,,,U,N,N
71548,variegate amphissa,Amphissa versicolor,,Y,,Y,3561,N,,N,,,,,Y,,Y,,,U,N,N
71551,,Astyris gausapata,,Y,,Y,1207,N,,N,,,,,Y,,Y,,,U,N,N
71552,elegant dove snail,Astyris elegens,,Y,,Y,3566,N,,N,,,,,Y,,Y,,,U,N,N
71570,,Euspira lewisii,Y,Y,Y,Y,1704,N,,N,,,,,Y,,Y,,,Y,N,N
71575,,Euspira sp.,Y,Y,Y,Y,405,N,,N,,,,,Y,,Y,,,Y,N,N
71580,pale moonsnail,Euspira pallida,Y,Y,Y,Y,1705,N,,N,,,,,Y,,Y,,,Y,N,N
71583,lamellarid unid.,Lamellariidae,Y,Y,,Y,3125,N,,N,,,,,Y,,Y,,,U,N,N
71584,,Lamellaria sp.,,Y,,Y,525,N,,N,,,,,Y,,Y,,,Y,N,N
71585,icy lamellaria,Onchidiopsis glacialis,Y,,,Y,2259,N,,N,,,,,Y,,Y,,,Y,N,N
71586,widemouth lamellaria,Capulacmaea commoda,Y,,,Y,1984,N,,N,,,,,Y,,Y,,,Y,N,N
71587,,Onchidiopsis sp. A (Clark and McLean),,Y,,Y,3489,N,,N,,,,,Y,,Y,,,Y,N,N
71588,,Onchidiopsis brevipes,,Y,,Y,2258,N,,N,,,,,Y,,Y,,,U,N,N
71589,,Onchidiopsis sp. B (Clark and McLean),,Y,,Y,3490,N,,N,,,,,Y,,Y,,,Y,N,N
71590,,Onchidiopsis sp.,Y,Y,,Y,697,N,,N,,,,,Y,,Y,,,Y,N,N
71591,,Lamellaria sp. A (Clark and McLean),,Y,,Y,3455,N,,N,,,,,Y,,Y,,,U,N,N
71592,,Lamellaria sp. B (Clark and McLean),,Y,,Y,3454,N,,N,,,,,Y,,Y,,,U,N,N
71593,,Lamellaria sp. C (Clark and McLean),,Y,,Y,3450,N,,N,,,,,Y,,Y,,,U,N,N
71594,,Lamellaria sp. D (Clark and McLean),,Y,,Y,3452,N,,N,,,,,Y,,Y,,,U,N,N
71595,,Lamellaria sp. E (Clark and McLean),,Y,,Y,3453,N,,N,,,,,Y,,Y,,,U,N,N
71596,white lamellarid,Lamellaria sp. F (McLean and Clark),,Y,,Y,3451,N,,N,,,,,Y,,Y,,,U,N,N
71597,,Onchidiopsis carnea,,,,Y,3961,N,,N,,,,,Y,,Y,,,Y,N,N
71598,,Onchidiopsis maculata,Y,,,Y,4004,N,,N,,,,,Y,,Y,,,Y,N,N
71631,,Tachyrhynchus sp.,Y,Y,,Y,979,N,,N,,,,,Y,,Y,,,Y,N,N
71634,eroded turretsnail,Tachyrhynchus erosus,Y,,,Y,2398,N,,N,,,,,Y,,Y,,,Y,N,N
71635,reticulated turretsnail,Tachyrhynchus reticulatus,Y,,,Y,2399,N,,N,,,,,Y,,Y,,,Y,N,N
71636,,Turritella sp.,,Y,,Y,1028,N,,N,,,,,Y,,Y,,,U,N,N
71639,slippersnails,Calyptraeidae,,Y,,Y,219,N,,N,,,,,Y,,Y,,,Y,N,N
71640,slipper shell,Crepidula sp.,Y,Y,,Y,310,N,,N,,,,,Y,,Y,,,Y,N,N
71681,great slippersnail,Crepidula grandis,Y,,,Y,1631,N,,N,,,,,Y,,Y,,,Y,N,N
71700,whelk unid.,,Y,Y,Y,Y,2574,N,,N,,,,,Y,,Y,,,Y,N,N
71702,Aleutian sulcated whelk,Sulcosinus sp. A (McLean and Clark),,Y,,Y,3535,N,,N,,,,,Y,,Y,,,U,N,N
71710,,Colus sp.,Y,Y,Y,Y,290,N,,N,,,,,Y,,Y,,,Y,N,N
71713,,Colus capponius,,,,Y,3903,N,,N,,,,,Y,,Y,,,Y,N,N
71714,,Colus acosmius,,,,Y,3902,N,,N,,,,,Y,,Y,,,Y,N,N
71715,,Colus calathus,Y,,,Y,1092,N,,N,,,,,Y,,Y,,,Y,N,N
71716,,Colus martensi,Y,,,Y,1093,N,,N,,,,,Y,,Y,,,Y,N,N
71718,garter whelk,Colus periscelidus,,Y,,Y,1102,N,,N,,,,,Y,,Y,,,Y,N,N
71719,,Colus jordani,,,Y,Y,1091,N,,N,,,,,Y,,Y,,,Y,N,N
71720,,Colus sabini,,,,Y,3904,N,,N,,,,,Y,,Y,,,Y,N,N
71721,thin-ribbed whelk,Colus herendeenii,Y,,,Y,1099,N,,N,,,,,Y,,Y,,,Y,N,N
71722,,Colus hypolispus,Y,,,Y,1097,N,,N,,,,,Y,,Y,,,Y,N,N
71723,shady whelk,Colus ombronius,Y,,,Y,1095,N,,N,,,,,Y,,Y,,,Y,N,N
71724,rosy whelk,Colus roseus,Y,,,Y,1088,N,,N,,,,,Y,,Y,,,Y,N,N
71725,,Colus esychus,Y,,,Y,1090,N,,N,,,,,Y,,Y,,,Y,N,N
71726,thick-ribbed whelk,Colus spitzbergensis,Y,,,Y,1104,N,,N,,,,,Y,,Y,,,Y,N,N
71727,,Colus georgianus,,Y,,Y,1096,N,,N,,,,,Y,,Y,,,Y,N,N
71728,,Colus tahwitanus,,,Y,Y,1098,N,,N,,,,,Y,,Y,,,Y,N,N
71730,oblique whelk,Colus aphelus,Y,,,Y,1089,N,,N,,,,,Y,,Y,,,Y,N,N
71731,shrew whelk,Colus halli,Y,,Y,Y,1087,N,,N,,,,,Y,,Y,,,Y,N,N
71732,,Colus datuzenbergii,Y,,,Y,1103,N,,N,,,,,Y,,Y,,,Y,N,N
71733,,Colus bristolensis,Y,,,Y,1100,N,,N,,,,,Y,,Y,,,Y,N,N
71734,,Colus trophius,,,Y,Y,1094,N,,N,,,,,Y,,Y,,,Y,N,N
71739,attenuate melon whelk,Volutopsius attenuatus,Y,Y,,Y,2466,N,,N,,,,,Y,,Y,,,U,N,N
71740,,Japelion aleutica,,Y,,Y,1416,N,,N,,,,,Y,,Y,,,Y,N,N
71741,,Japelion sp.,,Y,,Y,516,N,,N,,,,,Y,,Y,,,Y,N,N
71742,,Japelion sp. A,,Y,,Y,3448,N,,N,,,,,Y,,Y,,,U,N,N
71743,,Japelion sp. B,,Y,,Y,3449,N,,N,,,,,Y,,Y,,,U,N,N
71745,,Volutopsius sp. D (Clark and McLean),,Y,,Y,3548,N,,N,,,,,Y,,Y,,,U,N,N
71746,,Volutopsius sp. C (Clark and McLean),,Y,,Y,3550,N,,N,,,,,Y,,Y,,,U,N,N
