Species Code,Common Name,Scientific Name,In BS Region,In GOA Region,In WC Region,Taxonomically Classifiable,Species Taxonomic ID,Category of Code,Category Merge Mode,Merge In RACEBASE,Life Stage ID,From Length,To Length,Length Units,Is Organic,ITIS ID,Active,Size Class ID,Polycorder Species Code,Commonly Counted,Merge In Extract,Morphic Subcategory
1,fish eggs unid.,,Y,,,Y,7,Y,3,N,2,,,,Y,,Y,,,U,N,N
2,fish larvae unid.,,Y,Y,Y,Y,7,N,,N,,,,,Y,,Y,,,U,N,N
3,fish unid.,,Y,Y,Y,Y,7,N,,N,,,,,Y,,Y,,,Y,N,N
10,lamprey unid.,Petromyzontidae,Y,Y,Y,Y,777,N,,N,,,,,Y,,Y,,,Y,N,N
21,Pacific lamprey,Lampetra tridentata,Y,Y,Y,Y,1418,N,,N,,,,,Y,,Y,,,Y,N,N
100,hagfish unid.,Myxinidae,Y,Y,Y,Y,646,N,,N,,,,,Y,,Y,,,Y,N,N
109,,Eptatretus sp.,,Y,Y,Y,385,N,,N,,,,,Y,,Y,,,Y,N,N
110,black hagfish,Eptatretus deani,,,Y,Y,1829,N,,N,,,,,Y,,Y,,,Y,N,N
120,Pacific hagfish,Eptatretus stouti,,,Y,Y,1830,N,,N,,,,,Y,,Y,,,Y,N,N
150,shark unid.,Selachii,Y,Y,Y,Y,3825,N,,N,,,,,Y,,Y,,,Y,N,N
151,cartilaginous fish unid.,Chondrichthyes,,Y,,Y,2732,N,,N,,,,,Y,,Y,,,Y,N,N
160,shark egg case unid.,Selachii egg case,,,Y,Y,3825,Y,150,N,2,,,,Y,,Y,,,Y,N,N
180,thresher shark,Alopias vulpinus,,,Y,Y,1192,N,,N,,,,,Y,,Y,,,Y,N,N
200,cat shark unid.,Scyliorhinidae,,,Y,Y,904,N,,N,,,,,Y,,Y,,,Y,N,N
201,brown cat shark egg case,Apristurus brunneus egg case,,,Y,Y,1773,Y,210,N,2,,,,Y,,Y,,,Y,N,N
210,brown cat shark,Apristurus brunneus,,,Y,Y,1773,N,,N,,,,,Y,,Y,,,Y,N,N
211,filetail cat shark,Parmaturus xaniurus,,,Y,Y,1888,N,,N,,,,,Y,,Y,,,Y,N,N
212,longnose cat shark,Apristurus kampae,,,Y,Y,1772,N,,N,,,,,Y,,Y,,,Y,N,N
213,,Apristurus sp.,,Y,Y,Y,108,N,,N,,,,,Y,,Y,,,Y,N,N
214,swell shark,Cephaloscyllium ventriosum,,,Y,Y,2449,N,,N,,,,,Y,,Y,,,Y,N,N
222,sixgill shark,Hexanchus griseus,,,Y,Y,1651,N,,N,,,,,Y,,Y,,,Y,N,N
232,salmon shark,Lamna ditropis,Y,Y,,Y,1108,N,,N,,,,,Y,,Y,,147,Y,N,N
242,basking shark,Cetorhinus maximus,,Y,,Y,1804,N,,N,,,,,Y,,Y,,,Y,N,N
252,Pacific angel shark,Squatina californica,,,Y,Y,1566,N,,N,,,,,Y,,Y,,,Y,N,N
310,spiny dogfish,Squalus suckleyi,Y,Y,Y,Y,,N,,N,,,,,Y,,Y,,1,Y,N,N
311,combtooth dogfish,Centroscyllium nigrum,,,Y,Y,2565,N,,N,,,,,Y,,Y,,,Y,N,N
320,Pacific sleeper shark,Somniosus pacificus,Y,Y,Y,Y,1731,N,,N,,,,,Y,,Y,,121,Y,N,N
332,soupfin shark,Galeorhinus galeus,,,Y,Y,2031,N,,N,,,,,Y,,Y,,,Y,N,N
339,,Mustelus sp.,,,Y,Y,635,N,,N,,,,,Y,,Y,,,Y,N,N
340,brown smoothhound,Mustelus henlei,,,Y,Y,1441,N,,N,,,,,Y,,Y,,,Y,N,N
341,gray smoothhound,Mustelus californicus,,,Y,Y,1442,N,,N,,,,,Y,,Y,,,Y,N,N
351,blue shark,Prionace glauca,,,Y,Y,1489,N,,N,,,,,Y,,Y,,,Y,N,N
355,leopard shark,Triakis semifasciata,,,Y,Y,2498,N,,N,,,,,Y,,Y,,,Y,N,N
400,skate unid.,Rajidae,Y,Y,Y,Y,860,N,,N,,,,,Y,,Y,,,Y,N,N
401,skate egg case unid.,,Y,Y,Y,Y,860,Y,400,N,2,,,,Y,,Y,,,U,N,N
402,,Bathyraja sp. egg case,Y,Y,Y,Y,174,Y,405,N,2,,,,Y,,Y,,,Y,N,N
403,,Raja sp. egg case,,Y,,Y,859,Y,404,N,2,,,,Y,,Y,,,Y,N,N
404,,Raja sp.,Y,Y,Y,Y,859,N,,N,,,,,Y,,Y,,,Y,N,N
405,,Bathyraja sp.,Y,Y,,Y,174,N,,N,,,,,Y,,Y,,148,Y,N,N
406,white skate,Bathyraja spinosissima,,Y,Y,Y,2520,N,,N,,,,,Y,,Y,,,Y,N,N
410,deepsea skate,Bathyraja abyssicola,Y,Y,Y,Y,1608,N,,N,,,,,Y,,Y,,120,Y,N,N
411,deepsea skate egg case,Bathyraja abyssicola egg case,,Y,,Y,1608,Y,410,N,2,,,,Y,,Y,,,U,N,N
420,big skate,Raja binoculata,Y,Y,Y,Y,1075,N,,N,,,,,Y,,Y,,2,Y,N,N
421,,Raja binoculata egg case,,,Y,Y,1075,Y,420,N,2,,,,Y,,Y,,,Y,N,N
425,California skate,Raja inornata,,,Y,Y,1074,N,,N,,,,,Y,,Y,,,Y,N,N
435,Bering skate,Bathyraja interrupta,Y,Y,Y,Y,1609,N,,N,,,,,Y,,Y,,3,Y,N,N
436,,Bathyraja interrupta egg case,Y,,,Y,1609,Y,435,N,2,,,,Y,,Y,,,Y,N,N
440,longnose skate,Raja rhina,Y,Y,Y,Y,1073,N,,N,,,,,Y,,Y,,4,Y,N,N
441,longnose skate egg case,Raja rhina egg case,,Y,,Y,1073,Y,440,N,2,,,,Y,,Y,,,U,N,N
445,roughshoulder skate,Raja badia,Y,Y,Y,Y,1072,N,,N,,,,,Y,,Y,,118,Y,N,N
446,,Raja badia egg case,,Y,,Y,1072,Y,445,N,2,,,,Y,,Y,,,U,N,N
450,starry skate,Raja stellulata,Y,Y,Y,Y,1076,N,,N,,,,,Y,,Y,,,Y,N,N
455,mud skate,Bathyraja taranetzi,,Y,,Y,1607,N,,N,,,,,Y,,Y,,113,Y,N,N
456,mud skate egg case,Bathyraja taranetzi egg case,Y,,,Y,1607,Y,455,N,2,,,,Y,,Y,,,U,N,N
460,roughtail skate,Bathyraja trachura,Y,Y,Y,Y,1604,N,,N,,,,,Y,,Y,,119,Y,N,N
461,,Bathyraja trachura egg case,,,Y,Y,1604,Y,460,N,2,,,,Y,,Y,,,Y,N,N
471,Alaska skate,Bathyraja parmifera,Y,Y,Y,Y,2519,N,,N,,,,,Y,,Y,,5,Y,N,N
472,Aleutian skate,Bathyraja aleutica,Y,Y,,Y,1601,N,,N,,,,,Y,,Y,,6,Y,N,N
473,Aleutian skate egg case,Bathyraja aleutica egg case,Y,,,Y,1601,Y,472,N,2,,,,Y,,Y,,,U,N,N
474,Alaska skate egg case,Bathyraja parmifera egg case,Y,,,Y,2519,Y,471,N,2,,,,Y,,Y,,,U,N,N
475,Commander skate,Bathyraja lindbergi,Y,Y,,Y,1606,N,,N,,,,,Y,,Y,,115,Y,N,N
476,Commander skate egg case,Bathyraja lindbergi egg case,,Y,,Y,1606,Y,475,N,2,,,,Y,,Y,,,U,N,N
477,leopard skate,Bathyraja panthera,,Y,,Y,3572,N,,N,,,,,Y,,Y,,,U,N,N
478,leopard skate egg case,Bathyraja panthera egg case,,Y,,Y,3572,Y,477,N,2,,,,Y,,Y,,,U,N,N
480,whiteblotched skate,Bathyraja maculata,Y,Y,,Y,1602,N,,N,,,,,Y,,Y,,114,Y,N,N
481,whiteblotched skate egg case,Bathyraja maculata egg case,,Y,,Y,1602,Y,480,N,2,,,,Y,,Y,,,U,N,N
483,butterfly skate,Bathyraja mariposa,,Y,,Y,1603,N,,N,,,,,Y,,Y,,149,Y,N,N
484,Butterfly skate egg case,Bathyraja mariposa egg case,,Y,,Y,1603,Y,483,N,2,,,,Y,,Y,,,U,N,N
485,whitebrow skate,Bathyraja minispinosa,Y,Y,,Y,1610,N,,N,,,,,Y,,Y,,116,Y,N,N
486,whitebrow skate egg case,Bathyraja minispinosa egg case,Y,,,Y,1610,Y,485,N,2,,,,Y,,Y,,,U,N,N
490,golden skate,Bathyraja smirnovi,Y,Y,,Y,2518,N,,N,,,,,Y,,Y,,,Y,N,N
495,Okhotsk skate,Bathyraja violacea,Y,Y,,Y,1605,N,,N,,,,,Y,,Y,,117,Y,N,N
610,Pacific electric ray,Torpedo californica,,,Y,Y,1336,N,,N,,,,,Y,,Y,,,Y,N,N
710,spotted ratfish,Hydrolagus colliei,,Y,Y,Y,1855,N,,N,,,,,Y,,Y,,148,Y,N,N
711,,Hydrolagus colliei egg case,,,Y,Y,1855,Y,710,N,2,,,,Y,,Y,,,Y,N,N
10001,flatfish unid.,Pleuronectiformes,Y,Y,Y,Y,2,N,,N,,,,,Y,,Y,,,Y,N,N
10002,flatfish larvae,Pleuronectiform larvae,Y,,Y,Y,2,N,,N,,,,,Y,,Y,,,Y,N,N
10003,lefteye flounder unid.,Bothidae,,,Y,Y,195,N,,N,,,,,Y,,Y,,,Y,N,N
10008,sanddab unid.,Citharichthys sp.,Y,Y,Y,Y,276,N,,N,,,,,Y,,Y,,,Y,N,N
10009,longfin sanddab,Citharichthys xanthostigma,,,Y,Y,2327,N,,N,,,,,Y,,Y,,,Y,N,N
10010,Pacific sanddab,Citharichthys sordidus,Y,Y,Y,Y,2325,N,,N,,,,,Y,,Y,,7,Y,N,N
10020,speckled sanddab,Citharichthys stigmaeus,,Y,Y,Y,2326,N,,N,,,,,Y,,Y,,,Y,N,N
10041,bigmouth sole,Hippoglossina stomata,,,Y,Y,2353,N,,N,,,,,Y,,Y,,,Y,N,N
10050,California halibut,Paralichthys californicus,,,Y,Y,2268,N,,N,,,,,Y,,Y,,,Y,N,N
10060,fantail sole,Xystreurys liolepis,,,Y,Y,1931,N,,N,,,,,Y,,Y,,,Y,N,N
10100,righteye flounder unid.,Pleuronectidae,,Y,Y,Y,3,N,,N,,,,,Y,,Y,,,Y,N,N
10110,arrowtooth flounder,Atheresthes stomias,Y,Y,Y,Y,1957,N,,N,,,,,Y,,Y,,8,Y,N,N
10111,,Atheresthes sp.,Y,Y,,Y,149,N,,N,,,,,Y,,Y,,,Y,N,N
10112,Kamchatka flounder,Atheresthes evermanni,Y,Y,,Y,1958,N,,N,,,,,Y,,Y,,9,Y,N,N
10115,Greenland turbot,Reinhardtius hippoglossoides,Y,Y,,Y,2284,N,,N,,,,,Y,,Y,,10,Y,N,N
10116,Greenland turbot (juvenile),Reinhardtius hippoglossoides (juvenile),Y,Y,,Y,2284,Y,10115,Y,4,,,,Y,,Y,,153,Y,N,N
10120,Pacific halibut,Hippoglossus stenolepis,Y,Y,Y,Y,5,N,,N,,,,,Y,,Y,,11,Y,N,N
10122,hybrid sole,Parophrys vetulus X Platichthys stellatus hybrid,,,Y,Y,3,N,,N,,,,,Y,,Y,,,Y,N,N
10129,,Hippoglossoides sp.,Y,,,Y,482,N,,N,,,,,Y,,Y,,,Y,N,N
10130,flathead sole,Hippoglossoides elassodon,Y,Y,Y,Y,2458,N,,N,,,,,Y,,Y,,12,Y,N,N
10140,Bering flounder,Hippoglossoides robustus,Y,Y,,Y,2457,N,,N,,,,,Y,,Y,,13,Y,N,N
10141,Bering flounder (juvenile),Hippoglossoides robustus (juvenile),Y,Y,,Y,2457,Y,10140,Y,4,,,,Y,,Y,,154,Y,N,N
10145,diamond turbot,Hypsopsetta guttulata,,,Y,Y,2056,N,,N,,,,,Y,,Y,,,Y,N,N
10150,slender sole,Lyopsetta exilis,Y,Y,Y,Y,1676,N,,N,,,,,Y,,Y,,14,Y,N,N
10155,Arctic flounder,Liopsetta glacialis,Y,,,Y,1663,N,,N,,,,,Y,,Y,,,Y,N,N
10160,petrale sole,Eopsetta jordani,,Y,Y,Y,1389,N,,N,,,,,Y,,Y,,15,Y,N,N
10170,English sole,Parophrys vetulus,Y,Y,Y,Y,1697,N,,N,,,,,Y,,Y,,16,Y,N,N
10180,Dover sole,Microstomus pacificus,Y,Y,Y,Y,2079,N,,N,,,,,Y,,Y,,17,Y,N,N
10190,deepsea sole,Embassichthys bathybius,Y,Y,Y,Y,2332,N,,N,,,,,Y,,Y,,133,Y,N,N
10200,rex sole,Glyptocephalus zachirus,Y,Y,Y,Y,2415,N,,N,,,,,Y,,Y,,18,Y,N,N
10201,rex sole larvae,Glyptocephalus zachirus larvae,,Y,,Y,2415,N,,N,,,,,Y,,Y,,,Y,N,N
10209,yellowfin sole (juvenile),Limanda aspera (juvenile),N,N,N,Y,1260,Y,10210,Y,4,,,,Y,,Y,,,Y,N,N
10210,yellowfin sole,Limanda aspera,Y,Y,,Y,1260,N,,N,,,,,Y,,Y,,19,Y,N,N
10211,longhead dab,Limanda proboscidea,Y,,,Y,1261,N,,N,,,,,Y,,Y,,20,Y,N,N
10212,Sakhalin sole,Limanda sakhalinensis,Y,,,Y,1262,N,,N,,,,,Y,,Y,,21,Y,N,N
10220,starry flounder,Platichthys stellatus,Y,Y,Y,Y,2546,N,,N,,,,,Y,,Y,,22,Y,N,N
10221,hybrid starry flounder X Alaska plaice,Platichthys stellatus X Pleuronectes quadrituberculatus hybrid,,Y,,Y,3,N,,N,,,,,Y,,Y,,,Y,N,N
10240,roughscale sole,Clidoderma asperrimum,Y,Y,,Y,1811,N,,N,,,,,Y,,Y,,,Y,N,N
10250,sand sole,Psettichthys melanostictus,Y,Y,Y,Y,2280,N,,N,,,,,Y,,Y,,23,Y,N,N
10260,rock sole unid.,Lepidopsetta sp.,Y,Y,Y,Y,536,N,,N,,,,,Y,,Y,,24,Y,N,N
10261,northern rock sole,Lepidopsetta polyxystra,Y,Y,Y,Y,2228,N,,N,,,,,Y,,Y,,25,Y,N,N
10262,southern rock sole,Lepidopsetta bilineata,,Y,Y,Y,2227,N,,N,,,,,Y,,Y,,26,Y,N,N
10263,northern rock sole (juvenile),Lepidopsetta polyxystra (juvenile),Y,Y,Y,Y,2228,Y,10261,Y,4,,,,Y,,Y,,,Y,N,N
10270,butter sole,Isopsetta isolepis,Y,Y,Y,Y,1657,N,,N,,,,,Y,,Y,,27,Y,N,N
10280,curlfin sole,Pleuronichthys decurrens,Y,Y,Y,Y,2430,N,,N,,,,,Y,,Y,,28,Y,N,N
10281,hornyhead turbot,Pleuronichthys verticalis,,,Y,Y,2431,N,,N,,,,,Y,,Y,,,Y,N,N
10285,Alaska plaice,Pleuronectes quadrituberculatus,Y,Y,,Y,2279,N,,N,,,,,Y,,Y,,29,Y,N,N
10290,C-O sole,Pleuronichthys coenosus,,Y,Y,Y,2429,N,,N,,,,,Y,,Y,,30,Y,N,N
10291,,Pleuronichthys sp.,Y,Y,,Y,799,N,,N,,,,,Y,,Y,,,Y,N,N
10295,spotted turbot,Pleuronichthys ritteri,,,Y,Y,2428,N,,N,,,,,Y,,Y,,,Y,N,N
10400,California tonguefish,Symphurus atricauda,,,Y,Y,1748,N,,N,,,,,Y,,Y,,,Y,N,N
20000,poacher unid.,Agonidae,Y,Y,Y,Y,44,N,,N,,,,,Y,,Y,,,Y,N,N
20001,tubenose poacher,Pallasina barbata,Y,Y,Y,Y,1692,N,,N,,,,,Y,,Y,,,Y,N,N
20002,dragon poacher,Percis japonicus,Y,Y,,Y,1170,N,,N,,,,,Y,,Y,,,Y,N,N
20004,,Leptagonus sp.,Y,Y,,Y,539,N,,N,,,,,Y,,Y,,,Y,N,N
20005,longnose poacher,Leptagonus leptorhynchus,Y,Y,,Y,1862,N,,N,,,,,Y,,Y,,,Y,N,N
20006,sawback poacher,Leptagonus frenatus,Y,Y,Y,Y,2532,N,,N,,,,,Y,,Y,,110,Y,N,N
20007,Atlantic poacher,Leptagonus decagonus,Y,,,Y,3631,N,,N,,,,,Y,,Y,,,U,N,N
20015,northern spearnose poacher,Agonopsis vulsa,Y,Y,Y,Y,1592,N,,N,,,,,Y,,Y,,,Y,N,N
20018,pygmy poacher,Odontopyxis trispinosa,Y,Y,Y,Y,2091,N,,N,,,,,Y,,Y,,,Y,N,N
20020,blacktip poacher,Xeneretmus latifrons,,Y,Y,Y,1929,N,,N,,,,,Y,,Y,,,Y,N,N
20021,bluespotted poacher,Xeneretmus triacanthus,,,Y,Y,1930,N,,N,,,,,Y,,Y,,,Y,N,N
20022,smootheye poacher,Xeneretmus leiops,,,Y,Y,1928,N,,N,,,,,Y,,Y,,,Y,N,N
20023,,Xeneretmus sp.,,Y,,Y,1043,N,,N,,,,,Y,,Y,,,Y,N,N
20034,starsnout poacher unid.,Bathyagonus sp.,Y,Y,Y,Y,161,N,,N,,,,,Y,,Y,,,Y,N,N
20035,gray starsnout,Bathyagonus alascanus,Y,Y,Y,Y,1960,N,,N,,,,,Y,,Y,,,Y,N,N
20036,spinycheek starsnout,Bathyagonus infraspinatus,Y,Y,Y,Y,1963,N,,N,,,,,Y,,Y,,,Y,N,N
20037,bigeye poacher,Bathyagonus pentacanthus,Y,Y,Y,Y,1962,N,,N,,,,,Y,,Y,,,Y,N,N
20038,blackfin poacher,Bathyagonus nigripinnis,Y,Y,Y,Y,1961,N,,N,,,,,Y,,Y,,108,Y,N,N
20039,,Podothecus sp.,Y,,,Y,805,N,,N,,,,,Y,,Y,,,Y,N,N
20040,sturgeon poacher,Podothecus accipenserinus,Y,Y,Y,Y,1899,N,,N,,,,,Y,,Y,,109,Y,N,N
20041,veteran poacher,Podothecus veternus,Y,,,Y,1898,N,,N,,,,,Y,,Y,,,Y,N,N
20050,Aleutian alligatorfish,Aspidophoroides bartoni,Y,Y,,Y,2447,N,,N,,,,,Y,,Y,,112,Y,N,N
20051,Arctic alligatorfish,Ulcina olrikii,Y,,,Y,3802,N,,N,,,,,Y,,Y,,165,Y,N,N
20055,smooth alligatorfish,Anoplagonus inermis,Y,Y,,Y,1941,N,,N,,,,,Y,,Y,,,Y,N,N
20060,warty poacher,Chesnonia verrucosa,Y,Y,Y,Y,1625,N,,N,,,,,Y,,Y,,,Y,N,N
20061,Bering poacher,Occella dodecaedron,Y,Y,,Y,2483,N,,N,,,,,Y,,Y,,111,Y,N,N
20071,fourhorn poacher,Hypsagonus quadricornis,Y,Y,,Y,1857,N,,N,,,,,Y,,Y,,,Y,N,N
20075,pricklebreast poacher,Stellerina xyosterna,,Y,,Y,1920,N,,N,,,,,Y,,Y,,,Y,N,N
20100,slickhead unid.,Alepocephalidae,,Y,Y,Y,53,N,,N,,,,,Y,,Y,,,Y,N,N
20105,caerulean slickhead,Asquamiceps caeruleus,,Y,,Y,3565,N,,N,,,,,Y,,Y,,,U,N,N
20110,,Alepocephalus sp.,,Y,Y,Y,54,N,,N,,,,,Y,,Y,,,Y,N,N
20120,California slickhead,Alepocephalus tenebrosus,Y,,Y,Y,2310,N,,N,,,,,Y,,Y,,,Y,N,N
20121,sharpchin slickhead,Bajacalifornia burragei,,,Y,Y,2403,N,,N,,,,,Y,,Y,,,Y,N,N
20122,,Bajacalifornia megalops,Y,Y,Y,Y,3571,N,,N,,,,,Y,,Y,,,Y,N,N
20130,softskin slickhead,Rouleina attrita,Y,,,Y,1493,N,,N,,,,,Y,,Y,,,U,N,N
20150,threadfin slickhead,Talismania bifurcata,,Y,Y,Y,1926,N,,N,,,,,Y,,Y,,,Y,N,N
20179,,Maulisia sp.,Y,Y,,Y,599,N,,N,,,,,Y,,Y,,,Y,N,N
20180,,Maulisia mauli,,,Y,Y,1434,N,,N,,,,,Y,,Y,,,Y,N,N
20181,pitted tubeshoulder,Maulisia argipalla,,Y,,Y,3649,N,,N,,,,,Y,,Y,,,U,N,N
20202,sand lance unid.,Ammodytes sp.,Y,Y,Y,Y,66,N,,N,,,,,Y,,Y,,,Y,N,N
20203,Arctic sand lance,Ammodytes hexapterus,Y,,,Y,2515,N,,N,,,,,Y,,Y,,,Y,N,N
20204,Pacific sand lance,Ammodytes personatus,Y,Y,Y,Y,4046,N,,N,,,,,Y,,Y,,,Y,N,N
20320,wolf-eel,Anarrhichthys ocellatus,Y,Y,Y,Y,2312,N,,N,,,,,Y,,Y,,,Y,N,N
20322,Bering wolffish,Anarhichas orientalis,Y,Y,,Y,1763,N,,N,,,,,Y,,Y,,,Y,N,N
20420,fangtooth,Anoplogaster cornuta,,,Y,Y,2152,N,,N,,,,,Y,,Y,,,Y,N,N
20510,sablefish,Anoplopoma fimbria,Y,Y,Y,Y,1766,N,,N,,,,,Y,,Y,,31,Y,N,N
20542,tube-snout,Aulorhynchus flavidus,Y,Y,Y,Y,2555,N,,N,,,,,Y,,Y,,,Y,N,N
20570,marine smelts,Argentiformes,Y,Y,,Y,4012,N,,N,,,,,Y,,Y,,,U,N,N
20571,argentine unid.,Argentinidae,Y,,Y,Y,119,N,,N,,,,,Y,,Y,,,Y,N,N
20572,bluethroat argentine,Nansenia candida,Y,,,Y,1443,N,,N,,,,,Y,,Y,,,Y,N,N
20573,Pacific argentine,Argentina sialis,,,Y,Y,1598,N,,N,,,,,Y,,Y,,,Y,N,N
20575,silverside unid.,Atherinidae,,,Y,Y,150,N,,N,,,,,Y,,Y,,,Y,N,N
20576,topsmelt,Atherinops affinis,,,Y,Y,1784,N,,N,,,,,Y,,Y,,,Y,N,N
20577,jacksmelt,Antherinopsis californiensis,,,Y,Y,2315,N,,N,,,,,Y,,Y,,,U,N,N
20610,northern anchovy,Engraulis mordax,Y,,Y,Y,1640,N,,N,,,,,Y,,Y,,,Y,N,N
20614,deepsea smelt unid.,Bathylagidae,Y,Y,Y,Y,165,N,,N,,,,,Y,,Y,,,Y,N,N
20615,Pacific blacksmelt,Bathylagus pacificus,Y,Y,Y,Y,1787,N,,N,,,,,Y,,Y,,,Y,N,N
20619,blacksmelt unid.,Bathylagus sp.,Y,Y,Y,Y,166,N,,N,,,,,Y,,Y,,,Y,N,N
20620,robust blacksmelt,Bathylagus milleri,Y,Y,Y,Y,1786,N,,N,,,,,Y,,Y,,,Y,N,N
20622,northern smoothtongue,Leuroglossus schmidti,Y,Y,,Y,2246,N,,N,,,,,Y,,Y,,,Y,N,N
20624,popeye blacksmelt,Bathylagus ochotensis,Y,Y,Y,Y,1788,N,,N,,,,,Y,,Y,,,Y,N,N
20660,,Leuroglossus sp.,Y,Y,Y,Y,549,N,,N,,,,,Y,,Y,,,Y,N,N
20662,California smoothtongue,Leuroglossus stilbius,Y,Y,Y,Y,2247,N,,N,,,,,Y,,Y,,,Y,N,N
20700,ronquil unid.,Bathymasteridae,Y,Y,,Y,169,N,,N,,,,,Y,,Y,,,Y,N,N
20702,northern ronquil,Ronquilus jordani,Y,Y,Y,Y,1724,N,,N,,,,,Y,,Y,,,Y,N,N
20712,Alaskan ronquil,Bathymaster caeruleofasciatus,,Y,,Y,1968,N,,N,,,,,Y,,Y,,,Y,N,N
20713,smallmouth ronquil,Bathymaster leurolepis,,Y,,Y,1967,N,,N,,,,,Y,,Y,,,Y,N,N
20720,searcher,Bathymaster signatus,Y,Y,Y,Y,1965,N,,N,,,,,Y,,Y,,136,Y,N,N
20722,bluecheek ronquil,Bathymaster derjugini,,Y,,Y,1966,N,,N,,,,,Y,,Y,,,Y,N,N
20731,smooth ronquil,Rathbunella hypoplecta,,Y,,Y,2549,N,,N,,,,,Y,,Y,,,Y,N,N
20801,plainfin midshipman,Porichthys notatus,,,Y,Y,2543,N,,N,,,,,Y,,Y,,,Y,N,N
20802,,Porichthys sp.,,,Y,Y,818,N,,N,,,,,Y,,Y,,,Y,N,N
20803,toadfishes,Batrachoididae,,,Y,Y,175,N,,N,,,,,Y,,Y,,,U,N,N
20842,Pacific pomfret,Brama japonica,,,Y,Y,1085,N,,N,,,,,Y,,Y,,,Y,N,N
20871,bonythroat,Bathylaco nigricans,,,Y,Y,2517,N,,N,,,,,Y,,Y,,,Y,N,N
20900,cusk-eel unid.,Ophidiidae,Y,Y,Y,Y,707,N,,N,,,,,Y,,Y,,,Y,N,N
20901,spotted cusk-eel,Chilara taylori,,,Y,Y,1220,N,,N,,,,,Y,,Y,,,Y,N,N
20902,basketweave cusk-eel,Ophidion scrippsae,,,Y,Y,1474,N,,N,,,,,Y,,Y,,,Y,N,N
20905,paperbone cusk-eel,Lamprogrammus niger,,,Y,Y,2358,N,,N,,,,,Y,,Y,,,Y,N,N
20908,,Dicrolene sp.,,,Y,Y,359,N,,N,,,,,Y,,Y,,,Y,N,N
20910,threadfin cusk-eel,Dicrolene filamentosa,,,Y,Y,2527,N,,N,,,,,Y,,Y,,,Y,N,N
20915,arrowtail,Melanonus zugmayeri,,,Y,Y,1680,N,,N,,,,,Y,,Y,,,Y,N,N
20916,pelagic assfish,Bassozetus zenkevitchi,Y,,,Y,3980,N,,N,,,,,Y,,Y,,,Y,N,N
20920,,Cataetyx sp.,,,Y,Y,234,N,,N,,,,,Y,,Y,,,Y,N,N
20921,rubynose brotula,Cataetyx rubrirostris,,,Y,Y,1377,N,,N,,,,,Y,,Y,,,Y,N,N
20930,red brotula,Brosmophycis marginata,,,Y,Y,2171,N,,N,,,,,Y,,Y,,,Y,N,N
20952,jack mackerel,Trachurus symmetricus,,,Y,Y,1753,N,,N,,,,,Y,,Y,,,Y,N,N
20960,,Ceratioidei,,,Y,Y,243,N,,N,,,,,Y,,Y,,,Y,N,N
20971,common blackdevil,Melanocetus johnsonii,,,Y,Y,2072,N,,N,,,,,Y,,Y,,,Y,N,N
20980,seadevils unid.,Ceratiidae,Y,,Y,Y,242,N,,N,,,,,Y,,Y,,,Y,N,N
20981,triplewart seadevil,Cryptopsaras couesii,,,Y,Y,2201,N,,N,,,,,Y,,Y,,,Y,N,N
20990,flabby whalefishes,Cetomimidae,,,Y,Y,248,N,,N,,,,,Y,,Y,,,Y,N,N
20995,armored redmouth whalefish,Rondeletia loricata,,,Y,Y,1906,N,,N,,,,,Y,,Y,,,Y,N,N
21000,viperfish unid.,Chauliodontinae,Y,Y,Y,Y,252,N,,N,,,,,Y,,Y,,,Y,N,N
21010,Pacific viperfish,Chauliodus macouni,Y,Y,Y,Y,1805,N,,N,,,,,Y,,Y,,,Y,N,N
21110,Pacific herring,Clupea pallasi,Y,Y,Y,Y,1129,N,,N,,,,,Y,,Y,,32,Y,N,N
21120,American shad,Alosa sapidissima,Y,,Y,Y,1078,N,,N,,,,,Y,,Y,,,Y,N,N
21130,Pacific sardine,Sardinops sagax,,,Y,Y,1726,N,,N,,,,,Y,,Y,,,Y,N,N
21150,,Gigantactis sp.,,,Y,Y,433,N,,N,,,,,Y,,Y,,,Y,N,N
21200,grenadier unid.,Macrouridae,Y,Y,Y,Y,588,N,,N,,,,,Y,,Y,,,Y,N,N
21201,California grenadier,Nezumia stelgidolepis,,,Y,Y,1288,N,,N,,,,,Y,,Y,,,Y,N,N
21202,smooth grenadier,Nezumia liolepis,,,Y,Y,1287,N,,N,,,,,Y,,Y,,,Y,N,N
21204,shoulderspot grenadier,Caelorinchus scaphopsis,,,Y,Y,3408,N,,N,,,,,Y,,Y,,,Y,N,N
21210,,Coryphaenoides sp.,Y,Y,,Y,299,N,,N,,,,,Y,,Y,,,Y,N,N
21220,Pacific grenadier,Coryphaenoides acrolepis,Y,Y,Y,Y,2409,N,,N,,,,,Y,,Y,,33,Y,N,N
21230,giant grenadier,Albatrossia pectoralis,Y,Y,Y,Y,1937,N,,N,,,,,Y,,Y,,34,Y,N,N
21232,popeye grenadier,Coryphaenoides cinereus,Y,Y,Y,Y,2408,N,,N,,,,,Y,,Y,,122,Y,N,N
21238,filamented grenadier,Coryphaenoides filifer,,Y,Y,Y,2407,N,,N,,,,,Y,,Y,,,Y,N,N
21239,longfin grenadier,Coryphaenoides longifilis,Y,,,Y,2566,N,,N,,,,,Y,,Y,,,Y,N,N
