"Year","Unit","Fleet","Estimate_metric_tons","SD_log","SD_mt"
1980,1,1,196049.698676244,0.184449387377709,36161.2468164178
1981,1,1,7369.30678018995,0.5795486759329,4270.87198700242
1982,1,1,7369.30678018995,0.5795486759329,4270.87198700242
1983,1,1,248423.915882649,0.119365120308191,29653.1506067643
1984,1,1,7369.30678018995,0.5795486759329,4270.87198700242
1985,1,1,7369.30678018995,0.5795486759329,4270.87198700242
1986,1,1,284657.834663277,0.111348044535097,31696.093251351
1987,1,1,7369.30678018995,0.5795486759329,4270.87198700242
1988,1,1,7369.30678018995,0.5795486759329,4270.87198700242
1989,1,1,7369.30678018995,0.5795486759329,4270.87198700242
1990,1,1,7369.30678018995,0.5795486759329,4270.87198700242
1991,1,1,235396.14139302,0.126340059199549,29739.9624389394
1992,1,1,7369.30678018995,0.5795486759329,4270.87198700242
1993,1,1,7369.30678018995,0.5795486759329,4270.87198700242
1994,1,1,205090.235600946,0.11482571522106,23549.6329877342
1995,1,1,7369.30678018995,0.5795486759329,4270.87198700242
1996,1,1,7369.30678018995,0.5795486759329,4270.87198700242
1997,1,1,134966.799593103,0.11441994387731,15442.8936347429
1998,1,1,7369.30678018995,0.5795486759329,4270.87198700242
1999,1,1,7369.30678018995,0.5795486759329,4270.87198700242
2000,1,1,184403.65298224,0.110990695689675,20467.0897322162
2001,1,1,7369.30678018995,0.5795486759329,4270.87198700242
2002,1,1,126535.023794609,0.121432471451833,15365.4606645959
2003,1,1,7369.30678018995,0.5795486759329,4270.87198700242
2004,1,1,138959.983440756,0.120230259908244,16707.1949259275
2005,1,1,7369.30678018995,0.5795486759329,4270.87198700242
2006,1,1,144968.220011586,0.128769083648598,18667.4248490603
2007,1,1,7369.30678018995,0.5795486759329,4270.87198700242
2008,1,1,7369.30678018995,0.5795486759329,4270.87198700242
2009,1,1,7369.30678018995,0.5795486759329,4270.87198700242
2010,1,1,99245.8607466008,0.117624852834568,11673.779764759
2011,1,1,7369.30678018995,0.5795486759329,4270.87198700242
2012,1,1,129303.346871088,0.123766708511823,16003.4496417971
2013,1,1,7369.30678018995,0.5795486759329,4270.87198700242
2014,1,1,163457.900461806,0.12871822971295,21040.0115800393
2015,1,1,7369.30678018995,0.5795486759329,4270.87198700242
2016,1,1,153981.829504754,0.129866020904223,19997.007489335
