"Year","Unit","Fleet","Estimate_metric_tons","SD_log","SD_mt"
1984,1,1,43715.607631585,0.190150797305828,8312.55764585461
1985,1,1,59229.9331367385,0.291884771622991,17288.3155068618
1986,1,1,63775.4090367241,0.273604881549807,17449.2632352834
1987,1,1,77295.9065983579,0.163368644644345,12627.7274975296
1988,1,1,71937.2869277695,0.265032629536176,19065.7283161652
1989,1,1,75386.552344041,0.266003955856619,20053.121141907
1990,1,1,77335.8705840397,0.183699569089886,14206.5661014793
1991,1,1,81555.8193371805,0.26593936725275,21688.9029903094
1992,1,1,84192.1032548472,0.264697935327891,22285.4759024706
1993,1,1,96111.111124787,0.175638343286383,16880.796329371
1994,1,1,92823.4025894067,0.265342390833477,24629.9835683715
1995,1,1,99126.2411216316,0.275858782317387,27344.844171513
1996,1,1,98933.4202703546,0.184594494682348,18262.5647220025
1997,1,1,104052.702812807,0.278972922215158,29027.8865680741
1998,1,1,102272.77171123,0.270097751091028,27623.6456370494
1999,1,1,95168.1533241715,0.184571461130685,17565.3251121514
2000,1,1,102079.065633055,0.265051130706165,27056.17176747
2001,1,1,106819.093853358,0.182900269330951,19537.2410354673
2002,1,1,101269.223436878,0.266013331066905,26938.9634610026
2003,1,1,93992.4634583577,0.18905202334938,17769.4653963952
2004,1,1,105605.689264733,0.26331642578051,27807.7126392767
2005,1,1,138045.448716579,0.180354798170991,24897.1590417026
2006,1,1,109416.598365883,0.300721019617304,32903.8710236452
2007,1,1,114801.989378948,0.172601422491905,19814.986671707
2008,1,1,98766.2781341266,0.26839880413609,26508.750940172
2009,1,1,87569.7158302941,0.193957877436333,16984.8362101467
2010,1,1,94069.3871789027,0.27811527148328,26162.1331535265
2011,1,1,97618.6756730785,0.195923752255478,19125.8172280801
2012,1,1,97988.3133608137,0.301378317474395,29531.5530128358
2013,1,1,115842.206236127,0.202510727780638,23459.2894925929
2014,1,1,94667.2445593605,0.299108816065197,28315.8074403048
2015,1,1,83743.6545439919,0.21050265142996,17628.2613219448
