"Year","Unit","Fleet","Estimate_metric_tons","SD_log","SD_mt"
1984,1,1,488968.467219319,0.157166781966846,67966.1377263948
1985,1,1,158965.23376151,0.789464749777947,87821.260694031
1986,1,1,158965.23376151,0.789464749777947,87821.260694031
1987,1,1,465503.960349503,0.183749498139887,75549.5812704486
1988,1,1,158965.23376151,0.789464749777947,87821.260694031
1989,1,1,158965.23376151,0.789464749777947,87821.260694031
1990,1,1,498847.187606546,0.164319813911954,72773.6960827855
1991,1,1,158965.23376151,0.789464749777947,87821.260694031
1992,1,1,158965.23376151,0.789464749777947,87821.260694031
1993,1,1,725476.132890943,0.166636143156121,106949.585487008
1994,1,1,158965.23376151,0.789464749777947,87821.260694031
1995,1,1,158965.23376151,0.789464749777947,87821.260694031
1996,1,1,1013465.09238977,0.164385059078158,148636.627063172
1997,1,1,158965.23376151,0.789464749777947,87821.260694031
1998,1,1,158965.23376151,0.789464749777947,87821.260694031
1999,1,1,590741.564130225,0.177691288626238,92667.7868550679
2000,1,1,158965.23376151,0.789464749777947,87821.260694031
2001,1,1,1197836.10243884,0.252042313354365,259416.884022748
2002,1,1,158965.23376151,0.789464749777947,87821.260694031
2003,1,1,981988.691234363,0.164036127038749,142314.88768427
2004,1,1,158965.23376151,0.789464749777947,87821.260694031
2005,1,1,1443407.67623242,0.148180412947666,190738.086063247
2006,1,1,158965.23376151,0.789464749777947,87821.260694031
2007,1,1,1421858.27396252,0.165296554996324,207410.871310109
2008,1,1,158965.23376151,0.789464749777947,87821.260694031
2009,1,1,1286021.85960833,0.148304142661756,168898.279519532
2010,1,1,158965.23376151,0.789464749777947,87821.260694031
2011,1,1,1787038.19956536,0.16400371926258,257436.458974729
2012,1,1,158965.23376151,0.789464749777947,87821.260694031
2013,1,1,2483359.32243081,0.177600528428833,384194.273547609
2014,1,1,158965.23376151,0.789464749777947,87821.260694031
2015,1,1,2957032.58652083,0.160614435518288,417633.087467503
